Speaker,Speech,Day,Primetime,Politician,Army
I grew up like an ordinary girl. My dad worked as a landscaper and my mom stayed at home with my brother and I. 
But while my friends did ordinary things, I couldn't because my parents were afraid that someone might discover I was undocumented. 
My family believed so deeply in the promise of this country that we risked everything for the American dream. 
As an undocumented student, I felt like college was out of reach. But after a journey[inaudible]I finally graduated from Nevada State College. 
My family and I are here because of people like Senator Harry Reid -- [Spanish audio] -- who put themselves in our shoes and helped us. 
And while President Obama's immigration action protected me, we live in constant fear that my parents could be taken away from their grandson, Noah. 
So when Donald Trump talks about deporting 11 million people, he's talking about ripping families apart, separating families like mine and like Karla's. 
Hillary Clinton understands that this is not who we are as a country. 
I have seen her comfort children like Karla [Ortiz] who are scared that they might lose their parents to deportation. 
I know she will fight to keep our families together. [Spanish audio] I know she will.",1,,,

Bernie Sanders,"Thank you! Thank you very much! Thank you! Thank you!

It is an honor to be here tonight and to be following in the footsteps of my good friend Elizabeth Warren.

And to be here tonight to thank Michelle Obama for her incredible service to our country.

She has made all of us proud.

Let me begin by thanking the hundreds of thousands of Americans who actively participated in our campaign and volunteered. Thank you.

Let me thank the 2 1/2 million Americans who helped fund our campaign with an unprecedented 8 million individual campaign contributions.

Anyone know what that average contribution was? That's right, $27.

And let me thank the 13 million Americans who voted for the political revolution

giving us the 1,856th pledged delegates here tonight!

And delegates, thank you for being here and thank you for all the work you have done. I look forward to your votes during the roll call tomorrow night!

And let me offer a special thanks to the people of my own state of Vermont who have sustained me and supported me as a mayor, congressman, senator and presidential candidate.

And to my family, my wife, Jane, our four kids and seven grandchildren, thank you very much!

I understand that many people here in this convention hall and around the country are disappointed about the final results of the nominating process. I think it's fair to say that no one is more disappointed than I am.

But to all of our supporters here and around the country, I hope you take enormous pride in the historical accomplishment we have achieved.

Together, together, my friends, we have begun a political revolution to transform America, and that revolution, our revolution, continues!

[The neat political trick that Elizabeth Warren and Bernie Sanders played on Monday night]

Election days come and go, but the struggle of the people to create a government which represents all of us and not just the 1 percent, a government based on the principles of economic, social, racial and environmental justice, that struggle continues!

And I look forward to being part of that struggle with you.

Let me be as clear as I can be. This election is not about and has never been about Hillary Clinton or Donald Trump or Bernie Sanders or any of the other candidates who sought the presidency. This election is not about political gossip, it's not about polls, it's not about campaign strategy, it is not about all the things that the media spends so much time discussing.

This election is about and must be about the needs of the American people and the kind of future we create for our children and our grandchildren.

This election is about ending the 40-year decline of our middle class.

The reality that 47 million men, women and children today live in poverty. It is about understanding that if we do not transform our economy, our younger generation will likely have a lower standard of living than their parents.

This election is about ending the grotesque level of income and wealth inequality in America today!

It is not moral, it is not acceptable, and it is not sustainable that the top 1/10th of 1 percent now owns almost as much wealth as the bottom 90 percent.

Or that the top 1 percent in recent years has earned 85 percent of all new income. That is unacceptable. That must change.

This election is about remembering where we were seven-and-a-half years ago when President Obama came into office after eight years of Republican trickle-down economics.

The Republicans want us to forget that as a result of the greed, recklessness and illegal behavior on Wall Street our economy was in the worst economic downturn since the Great Depression. That's where we were. That is where we were. Some 800,000 people a month were losing their jobs, 800,000 people. We were running up a record- breaking deficit of $1.4 trillion. And by the way, the world's financial system was on the verge of collapse. That's where we were when President Obama came into office.

Well, we have come a long way in the last seven-and-a- half years and I thank President Obama and Vice President Biden!

I thank them for their leadership in pulling us out of that terrible recession.

Yes, we have made progress, but I think we can all agree that much, much more needs to be done.

This election is about which candidate understands the real problems facing this country and has offered real solutions.

Not just bombast, not just fear-mongering, not just name-calling and divisiveness. We need leadership in this country, which will improve the lives of working families, the children, the elderly, the sick and the poor. We need leadership which brings our people together and makes us stronger.

Not leadership which insults Latinos and Mexicans, insults Muslims and women, African Americans and veterans and seeks to divide us up.

By these measures, any objective observer will conclude that based on her ideas and her leadership, Hillary Clinton must become the next president of the United States.

[Bernie Sanders's big convention speech was the same speech he gave when he first endorsed Hillary Clinton]

This election is about a single mother, a single mom I saw in Nevada who, with tears in her eyes, told me she was scared to death about the future because she and her daughter were not making it on the $10.45 an hour she was earning. This election is about that woman and the millions of other workers in this country who are struggling to survive on totally inadequate wages.

Hillary Clinton understands that if someone in this country works 40 hours a week, that person should not be living in poverty.

She understands that we must raise the minimum wage to a living wage!

And she is determined to create millions of new jobs by rebuilding our crumbling infrastructure, our roads, bridges, water systems and wastewater plants.

But her opponent, Donald Trump, well, he has a very different point of view. He does not support raising the federal minimum wage of $7.25 an hour, a starvation wage.

While Trump believes in huge tax breaks, huge tax breaks for billionaires, he believes that states should actually have the right to lower the minimum wage below $7.25.

Brothers and sisters, this election is about overturning Citizens United!

Citizens United is one of the worst Supreme Court decisions in the history of our country.

That decision allows the wealthiest people in America, like the billionaire Koch brothers

to spend hundreds of millions of dollars buying elections and in the process undermine American democracy.

Hillary Clinton will nominate justices to the Supreme Court who are prepared to overturn Citizens United!

And end the movement toward oligarchy that we are seeing in this country.

Her Supreme Court appointments will also defend a woman's right to choose.

workers' rights, the rights of the LGBT community

the needs of minorities and immigrants and the government's ability to protect our environment.

If you don't believe that this election is important, if you think you can sit it out, take a moment to think about the Supreme Court justices that Donald Trump would nominate and what that would mean to civil liberties, equal rights and the future of our country.

This election is about the thousands of young people I have met all over this country.

The thousands that I have met who left college deeply in debt and, tragically, the many others who cannot afford to go to college.

During the primary campaign, Secretary Clinton and I both focused on this issue, but with somewhat different approaches. Recently, however, we have come together on a proposal that will revolutionize higher education in America.

It will guarantee -- guarantee -- that the children of any family in this country with an annual income of $125,000 a year or less, 83 percent of our population, will be able to go to a public college or university tuition free.

That proposal also substantially reduces student debt.

This election is about climate change, the great environmental crisis facing our planet.

And the need to leave this world in a way that is healthy and habitable for our children and future generations.

Hillary Clinton is listening to the scientists who tell us that unless we act boldly to transform our energy system in the very near future, there will be more drought, more floods, more acidification of the oceans, more rising sea levels. She understands that we can create hundreds of thousands of jobs transforming our energy system.

Donald Trump? Well, like most Republicans he chooses to reject science.

He believes that climate change is a hoax, no need to address it. Hillary Clinton understands that a president's job is to worry about future generations, not the profits of the fossil fuel industry.

This campaign is about moving the United States toward universal health care and reducing the number of people who are uninsured or under-insured.

Hillary Clinton wants to see that all Americans have the right to choose a public option in their health care exchange.

She believes that anyone 55 or older should be able to opt-in to Medicare.

And she wants to see millions more Americans gain access to primary health care, dental care, mental health counseling, low-cost prescription drugs through a major expansion of community health centers.

And what is Donald Trump's position on health care? Well, no surprise there, same old, same old Republican contempt for working families. He wants to abolish the Affordable Care Act, throw 20 million people off of health insurance

and cut Medicaid for lower-income Americans.

Hillary Clinton also understands that millions of seniors, disabled vets and others are struggling with the outrageously high cost of prescription drugs and the fact that Americans pay the highest prices in the world for the medicine we use. She knows that Medicare must negotiate drug prices with the pharmaceutical industry.

And that drug companies should not be making billions in profit when one out of five Americans are unable to afford the medicine they need. The greed of the drug companies must end!

This election is about the leadership we need to pass comprehensive immigration reform and repair a broken criminal justice system.

It's about making sure that young people in this country are in good schools and in good jobs, not rotting in jail cells.

Hillary Clinton understands that we have to invest in education and jobs for our young people, not more jails or incarceration.

In these stressful times for our country, this election must be about bringing our people together, not dividing us up.

While Donald Trump is busy insulting one group after another, Hillary Clinton understands that our diversity is one of our greatest strengths.

Yes, we become stronger when black and whites, Latino, Asian American, Native American, when all of us stand together.

Yes, we become stronger when men and women, young and old, gay and straight, native-born and immigrant fight together to create the kind of country we all know we can become.

It is no secret that Hillary Clinton and I disagree on a number of issues. That is what this campaign has been about. That is what democracy is about.

So I'm happy to tell you that at the Democratic Platform Committee there was a significant coming together between the two campaigns and we produced by far the most progressive platform in the history of the Democratic Party.

Among many, many other strong provisions, the Democratic Party now calls for breaking up the major financial institutions on Wall Street

and the passage of a 21st century Glass-Steagall Act.

It also calls for strong opposition to job-killing trade agreements like the TPP.

We have got to make sure that TPP does not get to the floor of the Congress in the lame-duck session!

Our job now is to see that strong Democratic platform implemented by a Democratic-controlled Senate

by a Democratic House and a Hillary Clinton presidency!

And I am going to do all that I can to make that happen.

I have known Hillary Clinton for 25 years. I remember her, as you do, as a great first lady who broke precedent in terms of the role that a first lady was supposed to play as she helped lead the fight for universal health care.

I served with her in the United States Senate and know her as a fierce advocate for the rights of children, for women and for the disabled.

Hillary Clinton will make an outstanding president and I am proud to stand with her tonight!

Thank you all very much!",1,,,

Bob Brady,"Welcome to Philadelphia, the city that's made America free, today makes history again. This is the birthplace of our great democracy -- the home of Independence Hall and the Liberty Bell. 
But independence and liberty have never been given. We have had to fight for and defend these principles each generation. 
That has always been the work of the brave men and women of the armed services. To all those who have served or have loved ones serving, thank you!
To all that have defended our freedom and never came home, prisoners of war and those missing in action, we remember you! You are not forgotten!
As Americans living in freedom, each of us has a responsibility to always remember the sacrifices of those that did not come home. And those whose safe return we are still waiting for, we hold them in our hearts every single day. 
Across this great land and throughout the greater Philadelphia in venues from City Hall through sports arenas, an empty chair honors our missing heroes. 
I was proud to pass a law to place one such chair in the United States Capitol forever. 
And at this Democratic convention, we also saved them a seat -- an empty chair that will serve as a reminder of those members and POWs and what they did for our country. A reminder that we all have a responsibility to remember. 
Please turn to the Pennsylvania delegation where we keep this meaningful memorial. The POW MIA National Chair of Honor. Right here at the Pennsylvania delegation. 
Now I ask all of you to stand and observe a moment of silence for our POW MIA Americans. Please stand. 
Thank you. And thank you for honoring the courage and commitment to our great community. Let's give them one more rousing round of applause. 
Thank you to our veterans. Let's go New York, I can't hear you. Virginia? How about Pennsylvania? Pennsylvania, let's give it up for our veterans!",1,,,

Bob Casey,"Philadelphia, the place where American independence began and where our Constitution was born. 
Since the time of William Penn, Pennsylvania has been a commonwealth of creators, of makers, of builders who every day invent the future. 
My father, Governor Casey, believed that we must never forget the ''the sweat and blood of working men and women who built Pennsylvania, forged the industrial revolution in our country and out-produced the world.''
With family roots in Scranton and her many visits to the state over the years, Hillary Clinton understands this. 
She'll work every day to build an economy that works for everyone, not just those at the top. 
But what about Donald Trump? Donald Trump says he stands for workers and that he'll put America first. But that's not how he's conducted himself in business. 
Where are his, quote, ''tremendous'' Trump products made? Doctorss shirts: Bangladesh. Furniture: Turkey. Picture frames: India. Wine glasses: Slovenia. Neckties: China. China. 
Why would Donald Trump make products in every corner of the world but not in Altoona, Erie or here in Philadelphia? 
Well, this is what he said -- quote -- ''Outsourcing is not always a terrible thing.'' Wages in America -- quote -- ''are too high.'' And then he complained about companies moving jobs overseas because -- quote -- ''We don't make things anymore.'' 
Really?! Well, tell that to the union workers at All-Clad in Canonsburg who make the pots and pans found in many of our kitchens. Tell that to the employees of K'NEX in Hatfield who create toys that teach our children about engineering and architecture. Tell that to the robotics students at Carnegie Mellon who are building 21st-century robots and cars that drive themselves. 
Donald Trump hasn't made anything in his life except a buck on the backs of working people. If he is a champion of working people, I'm the starting center for the 76ers. 
The man who wants to make America great doesn't make anything in America. 
And it's insulting that he has no plan -- no plan -- to support the men and women who are manufacturing products here at home. All he has are empty promises like so many he's made and failed to follow through on before. 
If you believe that outsourcing has been good for working people and has raised incomes for the middle class, then you should vote for Donald Trump. 
I'm voting for Hillary Clinton. 
She believes Hillary believes we need an economy that works for everyone, not just Donald Trump and those at the top. 
We need to commit ourselves to making good paying jobs here at home so that everyone who works hard can get ahead and stay there. 
That's why her first hundred days in office, President Hillary Clinton will put forward the largest investment in good paying jobs since World War II. 
As president, she rewards businesses that share profits with their employees. She'll slap a new exit tax on companies that move overseas while rewarding companies that invest here at home. And she'll strengthen our economy by investing $10 billion in new, advanced manufacturing jobs that can't be sent overseas. 
This November, we have a choice. 
You can choose a candidate who's only out for himself, who wants to get rid of the federal minimum wage, and who would cut taxes for the richest Americans at the expense of the middle class. 
Or you can choose Hillary Clinton, a leader with a proven track record of fighting for an economy that works for all of us. 
If you're with her like I am, sign up and volunteer at HillaryClinton.com. Thank you!",1,,,

Brendan Boyle,"Welcome to the nation's birthplace, my hometown, Philadelphia. 
Right here, in the sweltering summer of 1776, a nation was conceived not for a single race or religion but out of a shared commitment to powerful ideals that would inspire the world over. 
My father came to America when he was 19. He came here to enjoy the same rights and pursue the same opportunities that our founders dream of two centuries ago. 
He knew that in this country his children will be considered just as American as the descendants of the Mayflower. 
My father was a janitor, cleaning the same train stations many of us rode past to get here tonight. 
My mother was a school crossing guard. 
My brother and I grew up in a small Philadelphia row home where we were raised to believe that in this country if you work hard, where you come from doesn't determine where you're going. 
Thanks to many sacrifices, a lot of student loans, and a little luck, I became the first in my family to go to college. 
As Democrats, our mission is to make more stories like mine more common, not less so. 
But all Donald Trump wants to do is tell you who's to blame, to fan the flames of anxiety and to exploit them in the most negative, divisive, dangerous ways. 
This is why Hillary Clinton's vision is so important. It's the opportunity for wages that help Americans join the middle class and stay there, a plan to ensure that women receive equal pay for equal work, a pathway to college and a ladder into the working world. 
Now Donald Trump says the American dream is dead. Why does he want to lead America when he doesn't even believe in America? 
Donald Trump is wrong. This is a remarkable country, by geography and by destiny, we are a land set apart. 
We Democrats come to Philadelphia this week to reaffirm our commitment to our founding ideals. We come here to renew our fight to make the American dream a reality for all. We come here to elect Hillary Clinton the next president of the United States!",1,,,

Cheryl Lankford,"When you lose a spouse, you know that your life will change forever. You know that it won't be easy. 
But I didn't expect that on top of grieving the loss of my husband and trying to take care of my baby, I would also be the victim of a scam. 
You just saw what happened to me, how Trump University cheated me out of the money I received after my husband's death, how they broke their promises, how they stopped taking my calls, how they whole thing was a lie. 
By conning me out of the money the military gave me after my husband died, I felt like Trump University was disrespecting Jonathan's [sp] memory. 
I was furious, frightened, and the truth is I was embarrassed. 
The worst part was that I wasn't the only victim of Donald Trump's greed. Far from it.

He preyed on vulnerable people, like military widows and the elderly. 
He made millions of dollars off of people like me -- millions. 
He cheated more than 5,000 students, hardworking middle class folks -- teachers, police officers, even veterans. 
These are folks just like me who didn't have a lot but who were told that if they paid for Donald Trump's program they might be able to make a better living. 
Here's a guy who was born rich and who has all the money in the world and there's nothing wrong with that. In fact, I signed for Trump University because I thought I could learn something from him. 
But when he decided to make himself even richer by cheating working people who had nothing to spare. What kind of a man does that? 
It's not easy for me to get up here and tell my story. For a long time, I didn't tell anybody, not even my family or my friends. 
But I'm here because America deserves to know the truth. 
This election isn't about Democrat versus Republican; it's about right versus wrong. It's about someone who helps ordinary people no matter what it takes versus someone who helps himself no matter who it hurts. 
Donald Trump made big promises about Trump University, and I was fooled into believing him. 
Now, he's making big promises about America. Please don't make that same mistake.",1,,,

Cory Booker,"Hello, Philadelphia. Thank you. Thank you.

Thank you. Thank you. Thank you. Thank you. Thank you very much. Thank you. Thank you. Thank you very much.
Two hundred and forty years ago, our forefathers gathered in this very city and they declared before the world that we would be a free and independent nation. Today, we gather here again in this city, in this city of brotherly love, to reaffirm our values before our nation and the whole world.
Our purpose is not like theirs, to start a great nation, but to ensure that we continue in the best of our traditions, and with humble homage to generations of patriots before, we put forth two great Americans, our nominees for president and vice president, Hillary Clinton and Tim Kaine.

Now, looking back to our history, looking back to our history, our founding fathers put forth founding documents that were indeed genius. But our founding documents weren't genius because they were perfect. They were saddled with the imperfections and even the bigotry of the past. Native Americans were referred to as savages. Black Americans were fractions of human beings. And women were not mentioned at all.
But those facts and ugly parts of our history don't distract from our nation's greatness. In fact, I believe we are an even greater nation, not because we started perfect, but because every generation has successfully labored to make us a more perfect union.

Generations of heroic Americans have made our nation more inclusive, more expansive, and more just.
Our nation wasn't founded because we all look alike or prayed alike or descended from the same family tree. But our founders, in their genius, in this, the oldest constitutional democracy on the planet Earth, they put forth the idea that all are created equal, that we have inalienable rights.
And I'm so proud that upon this faithful foundation that we built a great nation. And today, no matter who you are — rich or poor, Asian or white, man or woman, gay or straight, any religion or none at all — you are entitled to the full rights and responsibilities of citizenship.

In this city, our founders put forth a Declaration of Independence, but let me tell you, they also made a historic declaration of interdependence. They knew that if this country was to survive and thrive, we had to make an unusual and extraordinary commitment to each other.
Look, I respect and value the ideals of individualism and self- reliance. But rugged individualism didn't defeat the British. It didn't get us to the moon. It didn't build our nation's highways. Rugged individualism didn't map the human genome. We did that together.

And so this is the high call of patriotism. Patriotism is love of country. But you can't love your country without loving your countrymen and your countrywomen. Now, we don't always have to agree, but we must be there for each other, we must empower each other, we must find the common ground, and we must build bridges across our differences to pursue the common good.
Let me tell you, we cannot devolve into our — to a nation where our highest aspirations are that we just tolerate each other. We are not called to be a nation of tolerance. We are called to be a nation of love.

That's why that last line in the Declaration of Independence says it so clearly. It says that we must — to make this nation work, we must mutually pledge to each other our lives and our fortunes and our sacred honor. Tolerance is the wrong way. Tolerance says I'm just going to stomach your right to be different, that if you disappear from the face of the Earth, I'm no better or worse off.
But love — love knows that every American has worth and value, that no matter what their background, no matter what their race or religion or sexual orientation, love, love recognizes that we need each other, that we as a nation are better together, that when we are divided we are weak, we decline, yet when we are united, we are strong, when we are indivisible, we are invincible.

This is the understanding of love that's embodied in one of my favorite savings. It's an African saying, and it says, ''If you want to go fast, go alone, but if you want to go far, go together.''

This is the reason why I am so motivated in this election, because I believe this election is a referendum on who best embodies the leadership we need to go far together.
Donald Trump is not that leader. We've watched him try to get laughs at other people's expense, try to incite fear at a time we need to inspire courage, try to rise in the polls by dragging our national conversation into the gutter. We've watched him mock, cruelly mock a journalist's disability. We've watched him demean the service of my Senate colleague, saying, ''He's not a war hero. He was a war hero because he was captured.'' Trump said, ''I don't like people who get captured.'' Would he say that to POWs from World War II? Would he say that to POWs from Vietnam? Would he say that to the brave men and women in Iraq and Afghanistan right now, risking capture or worse? That's not the commander-in-chief.
We've watched Donald Trump paint with a broad, divisive brush, saying that Mexican immigrants who came to build a better life in America are, in his words, ''bringing crime, they're bringing drugs.'' He called many of them rapists. He said that an Indiana-born federal judge can't be trusted to do his job because of his Mexican ancestry, a statement that his fellow Republicans have described as racist.
(AUDIENCE BOOS)
We've watched Donald Trump, our children, our daughters, our nieces and grandkids have watched Donald Trump and heard him calling women degrading and demeaning names, ''Dog.'' ''Fat pig.'' ''Disgusting.'' ''Animal.'' It's a twisted hypocrisy when he treats other women in a manner he would never, ever accept from another man speaking about his daughters or his wife.
In this great nation, where our founders put a fundamental principle forward of religious freedom, he says ban all Muslims, don't let certain people into our America because of how they pray.
Now, I take particular interest in the fact that Trump says he would run our country like he's run his businesses. Well, I'm from Jersey.

And I'm from the great Garden State. And we've seen how he leads in Atlantic City. He got rich while his companies declared multiple bankruptcies. Yet, without remorse, even as people got hurt and lost jobs by his failures, he bragged, and I quote, ''The money I took out of there was incredible.''
Yes, he took out a lot of cash, but he stiffed contractors, many of them small businesses, refusing to pay them for the work that they'd done. You know, we in America have seen enough of a handful of people growing rich at the cost of a nation descending into crisis.

America, at our best, we stand up to bullies, and we fight those who seek to demean and degrade other Americans. In times of crisis, we don't abandon our values; we double down on them.

Even amidst the crisis of the Civil War, Lincoln stood up and called out to all of our country, saying, ''With malice towards none and charity towards all.'' This is our history. This is the history that I was taught.
My parents never wanted my brother and I to get too heady. Gratitude was our gravity. So they never stopped reminding me my brother and I that our blessings sprang from countless ordinary Americans who showed extraordinary acts of kindness, decency and love, people who struggled and sweat and bled for our rights, people who paid the ultimate price for the freedoms we all enjoy. I was told that we can't pay those Americans back for their colossal acts of service, but we have an obligation to pay it forward to others through our service and our sacrifice.

I support Hillary Clinton because these are her values, and she has been paying it forward her entire life.

Long before — long before she got in politics, she was in Massachusetts going door-to-door collecting the stories of children with disabilities. In South Carolina, she fought to reform the juvenile justice system so that children wouldn't be thrown in adult prisons. In Alabama, she helped expose the remnants of segregation in schools. In Arkansas, she started a legal aid clinic to make sure poor folks could get their day in court.
She has fought for the people, and she's delivered. That's why we trust her to fight and deliver for us as president.
But let me tell you, we have a presidential nominee in Clinton who knows that, in a time of stunningly wide disparities of wealth in our nation, that America's greatness must not be measured by how many millionaires and billionaires we have, but by how few people we have living in poverty.
Hillary knows that when workers make a fair wage, it doesn't just help their families, it builds a stronger and more durable economy that expands opportunity and makes all of us Americans wealthier.
She knows that in a global knowledge-based economy, the country that out-educates the world will out-earn the world, out-innovate the world, and will lead the world.
She knows that debt-free college is not a gift, it's not charity, it is an investment. It represents the best of our values, the best of our history, and the best of our party, all of our shared ideas and values together.
Hillary Clinton knows that when we have paid family leave that this something that must happen, because when a parent doesn't have to choose between being there for a sick child and paying rent, or when a single mom earns an equal wage for equal work, it empowers the most important building block in all of our nation, and that is the family.
Hillary Clinton knows that security doesn't come from scapegoating other people because of their religion, alienating our allies, stoking fear and pointing fingers. It comes when we band together to face down and defeat our common enemy.
And she knows something that I fight for every day, that our criminal justice system desperately needs reform, that we need to bring back fairness to a system that still, as Professor Bryan Stevenson says, treats you better if you are rich and guilty than poor and innocent.
And she knows that we can be a nation that both believes police officers deserve more respect, they deserve more support, more cooperation and love, and believes that a black 20-something-year-old protestor deserves to be valued, deserves to be held, that they should be listened to with more courageous empathy, and that change is needed in the system.
And Hillary Clinton knows what Donald Trump betrays time and time again in this campaign, that we are not a zero-sum nation. It is not you or me. It is not one American against another American. It is you and I, together, interdependent, interconnected, with one single interwoven destiny.
When we respect each other, when we stand up for each other, when we work together against our challenges, against our neighbors' challenges, be it a neighbor with a beautiful special needs child or one struggling with the ugly disease of addiction, when we as Americans help them, when we show compassion and grace, when we evidence our truth, that we are the United States of America, one nation, under God, indivisible, that is when we are stronger. That is when we go from an already great America to an even greater America.

Now, let me tell you, let me tell you right now, when Trump spews insulting and demeaning words about our fellow Americans, I think of that poem by Maya Angelou. You all know it. You know how it begins. ''You may write me down in history, with your bitter, twisted lies, you may trod me in the very dirt, but still, like dust, I rise.''
Well, y'all know it. Y'all know it. This — this — this captures our American history. Two hundred forty years ago, an English king said he would crush our rebellion, but Americans from around our nation joined the fight. From Bunker Hill to the Battle of Trenton, they stood, and so many fell, giving their lives in support of our daring declaration that America, we will rise.
This is our history.

This is our history. Escaped slaves, knowing that liberty is not secure for some until it's secure for all, sometimes hungry, often hunted, in dark woods and deep swamps, they looked up to the North Star and said, with a determined whisper, America, we will rise.
Immigrants, immigrants risking their lives in times of sweatshops and child labor, they organized labor unions and devoted themselves to lifting the tired, the poor, and the huddled masses, with fiercest of grit, they shouted so all could hear, America, we will rise.
King pointed to the mountaintop, Kennedy pointed to the moon, from Seneca Falls to those who stood at Stonewall Inn, giants before us said in a chorus of conviction, America, we will rise.
My fellow Americans — my fellow Americans, we cannot fall into the complacency or indifference about this election, because still the only thing necessary for evil to be triumphant is for good people to do nothing. You know the saying.
My fellow Americans, we cannot be seduced by cynicism about our politics, because cynicism is a refuge for cowards, and this nation is and must always be the home of the brave.
We are the United States of America. We will not falter or fail. We will not retreat or surrender our values. We will not surrender our ideas. We will not surrender the moral high ground.
Here in Philadelphia, let us declare again that we will be a free people. Free from fear and intimidation. Let us declare, again, that we are a nation of interdependence, and that in America, love always trumps hate.

Let us declare — let us declare so that generations yet unborn can hear us. We are the United States of America. Our best days are ahead of us. And together, with Hillary Clinton as our president, America, we will rise.
God bless America. Let us rise together. God bless America.",1,,,

Dannel Malloy,"I am here today to tell you a story of hope -- a story of why we are stronger together. 
It's a story of a young boy with physical and severe learning disabilities. A child for whom reading and writing were almost impossible. A child thought to be, as the term used in the early 1960's, mentally retarded as late as the fourth grade. A boy who could not tie his shoe or button his shirt until the fifth grade. 
Someone who knew the harsh words of bullies in the playground and discrimination in the classroom. 
But that boy had great teachers, and he had a mother who believed deeply in giving him the opportunities for success. He had a support system that believed that we are stronger together when we lift up those who fall behind. 
And that boy was lifted up, he learned his strengths. He overcame his difficulties. He went on to be successful in college and law school, then earning the right to be the first learning impaired person to take the essay portion of the bar exam orally in three different states. 
And today that boy is now grown up and is standing before you as the governor of the state of Connecticut and proud to be addressing the Democratic National Convention. 
See, this is my story -- a story of why we are stronger together. It's an American story. 
After all, our communities are bound by the shared understanding that we are stronger together, that we need to lift up our brothers and sisters, and ignore the shouts and taunts of bullies amongst us. 
That is one reason why I am a Democrat, and that is why I am proud to support Hillary Clinton for president of the United States. 
